REPORTE DESCONSOLIDACION / PROVISION,,,,,,,,,,,,,,ARRIBO,,PROVISION,FACTURACIÓN,
"FECHA DE DES-
CONSOLIDACION",ME,LINEA,CODIGO EMBALAJE,USO/MARCHAMO,OPERATIVO,OT,CLIENTE,B/L HOUSE,B/L MASTER,NUMERO CNTR.,TOTAL DE CONTENEDORES,NAVIERA,BARCO,ETA BARCO,ETA CONFIRMADA,FECHA DE PROVISION,NUMERO DE DTE,FECHA DE FACTURA
8/01/2025,3,4/1,VN,23,KATHERINE,24OT3368,AUTOMAX S.A. DE C.V.,MB00239,KKLUJPN610642,N/A,63,K-KLINE,GRAND SAPPHIRE 5,5/01/2025,1/5/2025,N/A,,
8/01/2025,3,3/1,VN,23,KATHERINE,24OT3374,DISTRIBUIDORA DE AUTOMOVILES S.A. DE,MB00238,KKLUJPN610650,N/A,28,K-KLINE,GRAND SAPPHIRE 5,5/01/2025,1/5/2025,N/A,,
9/01/2025,18,23/1,RO,23,JOSELYNE,24OT3286,"MADE, S.A. DE C.V.",SBOG00039705,MEDUC1457901,MSMU1635208,1,MSC,MSC DAR ES SALAAM III LO451A,10/01/2025,1/15/2025,N/A,,
9/01/2025,18,30/1,PK,23,JOSELYNE,24OT3534,UDP PARTICIPACION CONJUNTA,LPFE2411000005,MEDUHE924608,"MSDU6472719
CAIU7808923",2,MSC,MSC DAR ES SALAAM III LO451A,10/01/2025,1/15/2025,N/A,,
10/01/2025,18,24/1,PE,23,MARCELA,24OT2188,HYSTIK DE CENTROAMERICA ,SYNFOC24SE090023,MEDUF1879875,"MSMU7829941, MSCU9689279",2,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,1/15/2025,N/A,,
10/01/2025,18,25/1,PK,24,MARCELA,24OT2552,QUIMICAS CONSOLIDADAS,SYNCAN24SE090829,MEDUQS877718,TTNU9071317,1,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,1/15/2025,N/A,,
9/01/2025,18,26/1,CT,24,ALBERTO,24OT2552,INTRALOGIX S.A. DE C.V/CATCO CORP,GMLMUM002900,MEDUHN832827,TRHU8532992,1,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,1/15/2025,N/A,,
13/01/2025,18,27/1,CT,23,INGRID,24OT2641,"CORPORACION MERCANTIL SALVADOREÑA, S.A. DE C.V.",SYNNGB24SE100648,MEDUR1119656,MSMU8646992,1,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,1/15/2025,N/A,,
9/01/0202,18,28/1,CT,23,NANCY,24OT2367,"Salinas Canales, Miguel Ángel",SYNNGB24SE101306,MEDUR1487327,UETU2654954,1,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,1/15/2025,N/A,,
13/01/2025,18,29/1,PK,23,INGRID,24OT2583,"SUPER REPUESTOS EL SALVADOR, S.A. DE C.V.",SYNNGB24SE101627,MEDUR1672647,TCLU9099757 MSCU4971079,2,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,1/15/2025,N/A,,
9/01/2025,18,31/1,CT,23,ALBERTO,24OT2469,"ALCANCE INTEGRAL EL SALVADOR, S.A. DE C.V.",SYNNKG24SE090131,MEDUQW661720,MSNU7004121,1,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,1/15/2025,N/A,,
PLG SV,18,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,PLG SV,MEDUVK656597,PLG SV,PLG SV,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,1/15/2025,N/A,,
9/01/2025,18,35/1,CT,24,ALBERTO,24OT2507,INTRALOGIX S.A. DE C.V/CATCO CORP,SYNCAN24SE100250,MEDUFW201521,TLLU8547639,1,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,1/15/2025,N/A,,
9/01/2025,18,36/1,CT,23,NANCY,24OT2467,"Ecofran, S.A. de C.V.",SYNCAN24SE100313,MEDUFW227856,MSMU4690615,1,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,1/15/2025,N/A,,
11/01/2025,23,18,PE,23,REBECA,24OT2554,"TRANSPORTES PESADOS, S.A DE C.V",SYNTAO24SE100102,MEDUQW852568,MSNU3516428,1,MSC,MSC DAR ES SALAAM III LO451A,13/01/2025,1/15/2025,N/A,,
